replicate,sample_sha256,IDR_AUBPC,DPA_AUBPC,IDR_minus_DPA_pp
118,377ff527d026e16a77fb1f36f7c876c8d46c5ce02d8b7a323738dc8de1c91e34,56.82612253086418,48.47529274691358,8.350829783950601
119,92b8a9ab9dc03a2b8189d05d48c86f6fecf96ff2ef8a35c442a7b32a96b75e83,54.34218780864196,47.10504151234568,7.237146296296281
120,a08e34ae443a9b534bd74fa0af3279b0e7e3113cf88a8c1c1249aa21ad8745a8,57.553354320987665,49.937700617283944,7.615653703703721
121,c64802607f1b81ddf44985f6b722cd7aa3ac9097e164f5903bd36c44f3667c40,55.4069875,47.65843564814815,7.74855185185185
122,0fff126cde75cd5e775123778d26539cbb06b331962ca9627c401e310d280471,55.32106682098766,47.92339043209876,7.397676388888897
123,325ac897f2d7cd4864d5e237628c6b3c589789c5fd2f35d96465c49dc12f7a58,56.389549845679014,48.947483179012345,7.442066666666669
124,947c22702b2643eee1892c75f7b538fb0bc3ff1394d1dd578d78d403466dd93e,55.524811574074064,47.81546589506172,7.709345679012344
125,3903df8c1f1d5616612f4a78c932542ced1aca7de21aadef9ff6e8d6df8bf03e,55.845803858024695,48.48778765432099,7.358016203703706
126,0855018b3e1b698106f7f9d11d8935669d5cb8f191cee5e6e61788fb9159bb54,57.61803749999999,49.90867561728395,7.7093618827160455
127,5cd51159730b62fd598ea0d8dbe335fa9a8e896cf5ee86c929c2071098c8fe1e,55.108625,47.21757283950617,7.891052160493835
128,cb488fa10c6343c160c0134ebcc350634f6969e758fcfefce8996d94907786b6,55.176265432098766,48.29472345679012,6.881541975308643
129,67b6b3712691b901c75e04b0643140df21c899e0719870c17a94a1e74ac262e0,57.02767561728395,48.804251851851845,8.223423765432102
130,d8e502628c83c2f382eca81d98f244befb7c390c7dd6ca76dc1d2b29dac147b3,55.22860694444443,48.23556064814815,6.993046296296278
131,312e4fdb2cbcf0cd9d35315789302e1b10cd9990df9e6b7a542f45b8ed59ccc3,54.528182098765434,47.085501080246914,7.44268101851852
132,48737ff05baa3c08e41bf4872e4a1cfad9aa5e8c906757f0e729315bfd962332,55.154755246913574,47.250302160493824,7.90445308641975
133,adb707ffa2561deada2ba86d72c88ccbe2b29082696842989ecf25be64116082,56.62497854938273,49.417331635802476,7.207646913580255
134,37befcd340851b8e3c6d116fa2f5b71dc44908ce11cb57cbbefc127bc0f0ad5c,55.62087885802469,48.73781265432099,6.883066203703699
135,51d3c6fa7b80e2d88b3d0a0fdbb903a71a9a4afcf6305d49b20740a63cf9a799,56.66844012345678,49.29847345679013,7.369966666666656
136,2c510e33f7262c3451319eec0b850bcd00059876258c08f9ecd29d1601a4efe2,54.684389506172835,46.06828317901235,8.616106327160487
137,49d0a2a76622c1ef9d05c1fecd35d91f2739e3c4161fed7e3e943d8e3ac8d3ac,55.89128456790124,49.42362762345679,6.46765694444445
138,86abbef083c4bc6a5ee2611f3a8864d0589858129b21610f4e1add85d769364c,54.63668179012346,47.07058904320988,7.566092746913583
139,34d5fad0079e72aa6d461f5b3fe6d6ef9f95fc38847e2071e49ed6c9b18cd861,56.28077206790123,49.417332561728394,6.863439506172838
140,9ac4308b015c97ddc4acc655eff16e0548bc7a8a04543c6b17b8809a910959b7,56.29873040123456,48.4701100308642,7.828620370370359
141,6ff6257e60d835a003fc2d76e98afbc593bd0db0b0d555dd0ae2c13875edb3cb,56.26198487654321,49.40127916666667,6.860705709876541
142,5aaa7fb6e76e9f88fff14d68b77c75fa51a1b7189bd5f8ee8163b05e1ea56987,55.78394367283951,48.99150709876543,6.792436574074081
143,ba0f6476ebfbcc3d8175b28891d04b6db69c15de6e4ded8c0a3b8803fd913738,57.43839089506173,49.63866759259259,7.79972330246914
